路線名稱,百公尺樁號KM,WGS84_E,WGS84_N
國1,24.2,121.5235856,25.07584684
國1,24.3,121.5226527,25.07615186
國1,24.4,121.521713,25.0764389
國1,24.5,121.5207661,25.07670545
國1,24.6,121.5198109,25.07694611
國1,24.7,121.5188499,25.07716686
國1,24.8,121.5178825,25.07736328
國1,24.9,121.5169109,25.07754122
國1,25.0,121.5159356,25.0777018
國1,25.1,121.5149559,25.07783889
國1,25.2,121.5139721,25.07794893
國1,25.3,121.5129856,25.07803722
國1,25.4,121.511997,25.0781033
國1,25.5,121.511007,25.07814804
國1,25.6,121.5100161,25.07816948
國1,25.7,121.509025,25.0781728
國1,25.8,121.5080341,25.0781486
國1,25.9,121.5070442,25.07810272
國1,26.0,121.506056,25.078033
國1,26.1,121.50507,25.07794021
國1,26.2,121.5040866,25.07782732
國1,26.3,121.5031068,25.07769084
國1,26.4,121.5021307,25.0775342
國1,26.5,121.5011604,25.07735034
國1,26.6,121.5001952,25.07714499
國1,26.7,121.499234,25.07692452
國1,26.8,121.4982746,25.07669742
國1,26.9,121.4973152,25.0764703
國1,27.0,121.4963558,25.07624319
國1,27.1,121.4953964,25.07601606
國1,27.2,121.494437,25.07578893
國1,27.3,121.4934777,25.07556179
國1,27.4,121.4925183,25.07533465
國1,27.5,121.4915589,25.0751075
國1,27.6,121.4905995,25.07488035
國1,27.7,121.4896402,25.07465318
國1,27.8,121.4886806,25.07442687
國1,27.9,121.4877203,25.07420282
國1,28.0,121.4867601,25.07397876
國1,28.1,121.4857999,25.0737547
國1,28.2,121.4848303,25.07356727
國1,28.3,121.4838515,25.07342551
國1,28.4,121.482866,25.07333079
國1,28.5,121.4818762,25.07328489
國1,28.6,121.4808852,25.0732889
國1,28.7,121.479896,25.07334536
國1,28.8,121.4789118,25.0734516
國1,28.9,121.4779362,25.07361072
國1,29.0,121.4769699,25.07381093
國1,29.1,121.4760127,25.07404514
國1,29.2,121.4750582,25.07428877
國1,29.3,121.4741037,25.0745324
國1,29.4,121.4731492,25.07477602
國1,29.5,121.4721944,25.07501845
國1,29.6,121.4712365,25.07525066
國1,29.7,121.4702703,25.0754518
國1,29.8,121.4692944,25.0756093
國1,29.9,121.468312,25.07572849
國1,30.0,121.4673247,25.07580725
國1,30.1,121.4663345,25.07584671
國1,30.2,121.4653433,25.07584548
國1,30.3,121.4643534,25.07579938
國1,30.4,121.4633666,25.07571516
國1,30.5,121.4623855,25.07558722
國1,30.6,121.4614109,25.07542305
國1,30.7,121.4604478,25.07520986
國1,30.8,121.4594925,25.07496967
國1,30.9,121.4585495,25.07469159
國1,31.0,121.4576088,25.07440674
國1,31.1,121.4566682,25.07412188
國1,31.2,121.4557276,25.07383702
國1,31.3,121.454787,25.07355215
國1,31.4,121.4538464,25.07326728
國1,31.5,121.4529058,25.0729824
國1,31.6,121.4519652,25.07269751
國1,31.7,121.4510246,25.07241262
國1,31.8,121.450084,25.07212772
國1,31.9,121.4491434,25.07184282
國1,32.0,121.4482028,25.07155791
國1,32.1,121.4472622,25.07127299
國1,32.2,121.4463217,25.07098807
國1,32.3,121.4453811,25.07070314
國1,32.4,121.4444405,25.07041821
國1,32.5,121.4435,25.07013327
國1,32.6,121.4425585,25.06985084
國1,32.7,121.4416104,25.06958778
國1,32.8,121.440655,25.06934708
國1,32.9,121.4396923,25.06913231
國1,33.0,121.4387233,25.0689425
國1,33.1,121.4377477,25.068783
國1,33.2,121.4367678,25.06864737
